Signal Name,Label,License,Short Description,Source
abyz_city_v1,ABYZ City,newsq,The city name associated with an ABYZ directory entry,ABYZ News Links
abyz_language_v1,ABYZ Language,newsq,The language assocated with an ABYZ directory entry,ABYZ News Links
abyz_media_focus_v1,ABYZ Media Focus,newsq,The media focus associated with an ABYZ directory entry,ABYZ News Links
abyz_media_type_v1,ABYZ Media Type,newsq,The media type associated with an ABYZ directory entry,ABYZ News Links
abyz_state_v1,ABYZ State,newsq,The state name associated with an ABYZ directory entry.,ABYZ News Links
ads_txt,Ads.txt presence,open,Describes if ads.txt is available at the source entity url.,NewsQ
eppy_award,EPPY Award,open,Winners of the EPPY Award (digital media),Editor & Publisher
factmata_unified_risk_score_v1,Unified Risk Score,newsq,"The Unified Risk Score represents the likelihood that the content will be harmful to a brand, platform or individual.",FactMata
is_member_of_vsn,Members of the WHO Vaccine Safety Net,open,,"World Health Organization, Vaccine Safety Network"
kinzen_community_curated_news_source,Kinzen Community Curated News Source,newsq,Categories of curated news websites,Kinzen
language,Language,"open, newsq","Two-character (en) language codes relevant to website or outlet.","CUNY Newmark Graduate School of Journalism, ABYZ News Links"
markkula_journalism_ethics,Markkula Journalism Ethics,newsq,"Quantification of Journalism Ethics signals on US websites",Markkula Journalism Ethics
murrow_prizelist_v1,Edward R Murrow Prizes,open,List of all Edward R Murrow Awards a particular website has received.,Edward R Murrow Award
nobias_rating_v2,NoBias Rating,newsq,Editorial rating of credibility based on LexisNexis Source Ranks.,Nobias
nobias_slant_v2,Nobias Slant,newsq,An analysis of the relative political slant of a news source.,Nobias
oii_jn_criteria_v2,Junk News Criteria,newsq,"Sources of junk news as defined by the Computational Propaganda group of the Oxford Internet Institute at the University of Oxford",OII
pulitzer_prizelist_v2,Pulitzer Prizes,open,Enumeration of finalist/winner status of publication for currently awarded Pulitzer Prize Categories.,The Pulitzer Prize
tm_ad_clutter_v1,Advertising Clutter,newsq,Summation of various ad-related analyses to take into account the overall impact of a site’s ad environment on user experience.,Trust Metrics
tm_advertiser_overall_safety_v1,Advertiser Safety,newsq,Overall analysis of whether or not a site has safety concerns.,Trust Metrics
tm_category_v1,Category,newsq,Contextual focus of the site.,Trust Metrics
tm_content_contains_hate_v1,Content - Contains Hate,newsq,Overall assessment of whether or not the site contains excessive hate speech.,Trust Metrics
tm_content_contains_pornography_v1,Content - Contains Pornography,newsq,Presence of pornographic material on a site.,Trust Metrics
tm_content_contains_profanity_v1,Content - Contains Profanity,newsq,Overall assessment of whether or not the site is a profane environment.,Trust Metrics
tm_content_contains_violence_v1,Content - Contains Violence,newsq,Overall assessment of whether or not a site contains violent material.,Trust Metrics
tm_content_language_isenglish_v1,Content - English Language,newsq,Determines whether or not the primary language on the site is English.,Trust Metrics
tm_content_ugc_level_v1,Content - UGC Level,newsq,Overall assessment of the ratio of user-generated to editorial content on a site.,Trust Metrics
tm_opaque_inventory_v1,Opaque Inventory,newsq,Any website that does not serve ads.,Trust Metrics
tm_opengraph_appid_v1,Opengraph AppID,newsq,"Opengraph AppID, as declared in the site’s home page HTML.",Trust Metrics
tm_opengraph_description_v1,Opengraph Description,newsq,Opengraph Description as declared in the site’s home page HTML.,Trust Metrics
tm_opengraph_image_v1,Opengraph Image,newsq,Opengraph Image as declared in the site’s home page HTML.,Trust Metrics
