San Jose Mercury News,mercurynews.com,San Jose Mercury News / Mercury Center,Best Overall Online Newspaper Service Large-circulation newspaper category,1996,November 2019,,Y
Warfield's Tampa Bay Review,review.net,Warfield's Tampa Bay Review / Review.net,Best Overall Online Newspaper Service Small-circulation newspaper category,1996,November 2019,,Y
New York Times,nytimes.com,New York Times on the Web,Best Designed Large-circulation newspaper category,1996,November 2019,,*
Portland Press Herald / Maine Sunday Telegram,pressherald.com,Portland Press Herald/Maine Sunday Telegram,Best Designed Small-circulation newspaper category,1996,November 2019,,*
New York Times,nytimes.com,New York Times on the Web,Strongest News Content Large-circulation newspaper category,1996,November 2019,,Y
The Standard-Times,southcoasttoday.com,"Standard Times (New Bedford, MA)",Strongest News Content Small-circulation newspaper category,1996,November 2019,,Y
San Jose Mercury News,mercurynews.com,San Jose Mercury News / Newshound,Best Original Feature Large-circulation newspaper category,1996,November 2019,,Y
Casper Star-Tribune,trib.com,Casper Star-Tribune / First Amendment Cyber-Tribune,Best Original Feature Small-circulation newspaper category,1996,November 2019,,Y
The Boston Globe,boston.com,Boston.com / The Boston Globe,Best Content Alliance,1996,November 2019,,Y
Cox newspapers,-,Fastball / Cox Newspapers,Best Niche Service Large-circulation newspaper category,1996,November 2019,,Y
Portland Press Herald / Maine Sunday Telegram,pressherald.com,BayNet / Portland Press Herald,Best Niche Service Small-circulation newspaper category,1996,November 2019,,Y
San Jose Mercury News,mercurynews.com,San Jose Mercury News / Mercury Center Web,Best Online Classifieds Large-circulation newspaper category,1996,November 2019,,N
Time,time.com,Pathfinder / Time Daily,Best Online News Service by a Non-Newspaper Company,1996,November 2019,,Y
New York Times,nytimes.com,New York Times on the Web,"Best Overall Online Newspaper Service Over 100,000 daily newspapers",1997,November 2019,,Y
Charlotte Sun Herald,yoursun.com,"Sunline, Charlotte Sun Herald, Charlotte Harbor, FL","Best Overall Online Newspaper Service Under 100,000 daily newspapers",1997,November 2019,,Y
