112 Ukraine,,https://112.ua/,D,,2020,1/7/2020,,,,Yellow/Exclamation mark,"No consensus, unclear, or additional considerations apply",No Consensus,NC
112 Ukraine,,https://112.international/,D,,2020,1/7/2020,,,,Red/Stop badge,Generally unreliable,Unreliable,UR
City-Data,,http://www.city-data.com/,UR,2019 20192019+14[a],2019,1/7/2020,,"1
2  +43",,Dark red/hand,"Deprecated (highly questionable sources that editors are discouraged from citing in articles, because they fail the reliable sources guideline in nearly all circumstances. )",Deprecated,D
Al Jazeera English,,https://www.aljazeera.com/,R,123456789,2019,1/7/2020,,"1
2",,Black/X,"Blacklisted, on Wikipedia's spam blacklist or Wikimedia global spam blacklist",Blacklisted,B
AlterNet,,https://www.alternet.org/,UR,12345,2019,1/7/2020,,1,,Blue/Arrows,"Request for comment, seeking input from others (The linked discussion is an uninterrupted request for comment on the reliable sources noticeboard or another centralized venue suitable for determining the source's reliability.)","Request for Comment, ongoing",RFC
Amazon,,https://www.amazon.com/,UR,12345,2017,1/7/2020,,show,,Timer/?,Stale discussions (Not been discussed for four years),Expired,E
The American Conservative,,https://www.theamericanconservative.com/,NC,20191,2019,1/7/2020,,1,,Clock/?,Discussion in progress,"Undecided, in progress",UD
Anadolu Agency,General Topics,https://www.aa.com.tr/en/,NC,,2019,1/7/2020,,,,,,,
,"Controversial topics, international Politics",https://www.aa.com.tr/en/,UR,,2019,1/7/2020,,,,,,,
Ancestry.com,,https://www.ancestry.com/,UR,1234,2015,1/7/2020,,1,,,,,
Answers.com,WikiAnswers,https://www.answers.com/,UR,1234,2010,1/7/2020,,1,,,,,
Ars Technica,,https://arstechnica.com/,R,12,2012,1/7/2020,,"1
2",,,,,
arXiv,,https://arxiv.org/,UR,1234AB,2015,1/7/2020,,1,,Archive,,,
The Associated Press,,https://www.ap.org,R,123456,2018,1/7/2020,,"1
2",,Date,List link,,
The Atlantic,,https://www.theatlantic.com/,R,123,2019,1/7/2020,,1,,1/7/2020,https://web.archive.org/web/20200107184532/https://en.wikipedia.org/wiki/Wikipedia:Reliable_sources/Perennial_sources,,
